Name,Score
[LV21] Lords of Valinor,5575735628
[LG21] Lords of Gondor,1879390602
[LR21] Lords of Rohan,929764054
[21M] Immortal Myrmidc,521685218
[21IR] Corral,409623264
[211f] Immortal Falcons,371565326
[LLA] Lost legion academ,251089558
[21MA] Myrmidons Acade,221758699
[OP1] OP CLAN,205921819
[K~R~] 3621 Utility Box,179379487
[RC21] ROYAL CROWN,151710320
[SFIS] Sky Fighters,149119475
[21if] farm 21If,119425722
[GW21] GOATED WARRIO,112022671
[OOR] GARDEN rabbits,104420336
[NYT] Nyghtfire/21IT/RW,104420336
[V-NN] VanFamily,85006093
[TFS:] The Forsaken Soul,84240601
[I-am] RoyalLoyalMembe,77417752
[2ID1] ID farm VN,77417752
[211f] GanjaMafja,72362859
[jk10] jk 3621,71852439
[RWND] RWND/21IT ACAD!,68074511
[21ic] kingdom of warrio,68074511
[~AKT] BR AKATSUKI,68074511
[21LK] legionary knight,55145486
[210F] 3621 Official Farn,52489689
[Tick] Tick tack,52250980
[_IK_] Immortal AKATSUI,47124682
[21MS] Myrmidons Farm,37566813
[SL21] Shadow legion,37370772
[_NDM] New Jersey Nol,34209840
[P21J] PETANI IDAMAN JA,33449203
[VD1] vagabond,31727124
[ANTB] Anti Banned Club,31727124
[safE] Diamonds Catties,31727124
[Ip21] Farm of Boss,30394649
[11IN] alliance inazuma,30394649
[21ib] Indonesia biru,29466952
[CREW] The CREW,29197264
[1AMH] Tosun,29197264
[tgm1l] amarl,25689955
[W/1] 100 Mortals,24202592
[FR~~] VIVE LA FRANCE,22727208
[TR21] True Royelty,22323994
[211A] IMMORTAL SLAYEF,22263036
[Slon] Slonii,21621263
[Deva] Legend of the dra,21491421
[21U1] IMMORTAL UTOPL,20565946
[EA'1] KING LEGEND,20125791
[Mmkk] a> ala,20125791
[-RA2] Risen From Ashes:,18870552
[TM24] Dragon-D-Team,18295320
[SPb7] BopoHuu,18162534
[KBAK] Kickback Kingdor,17107678
[DNTM] Dont Touch Me,16627902
[21Bi] Blood immortals,16504086
[CRNT] Gli Spartani,15560111
[FaR] IMMORTAL FARM,15560111
[FF21] Turkishh power,14673127
[URFA] sehr-i urfa,14349362
[Ra8] Academy,14349362
[Alg] Palestine313,14011577
[DD21] Dragon of Death,13847702
[IDFr] Corona,13847702
[43-M] LEGION 43-M,13847702
[JUM1] JumpByruman,12039858
[211B] White Blood,12039858
[21ca] bo lac an hai,11619521
[!/IL] Immortal Legacys,11373672
[Hmz2] Hafez,11373672
[Hmz] DoUrden,11373672
[BPRS] snazzysaucers,10189434
[fagr] alpha table,10186543
[A-Rt] Art Is Murders,9606705
[GpVg] Corral Akademie,9606705
[ZGRN] Zugrun,9606705
[DE3Z] the late tommoro,9606705
[LAE] Alice,9606705
[MirA] honey'sEmpire24],7813246
[H21] King war,7813246
[BSG1] BOS GANG 1,7813246
[21H7] PoxaH,7204206
[Anto] Isedux,6737245
[211s] IMORTAL S,6205905
[21I1T] Immortal Tigers,6164766
[crew] The Crew Academ,6164766
[S45G] SonsOfGods,5683548
[RCF] RCFARMS,5683548
[WTLF] WarThunderers,5683548
[21MF] MAFIA NATION - 2,5683548
[AGGG] Jumped,5683548
[Jum2] Net_bangers,5683548
[Trka] El Turcooo,5683548
[ValL] Legacy Of Vallhala,5683548
[vits] vit remake,5683548
[N211] world of darkness,5683548
[21Wh] Guerriers d'Athel,5683548
[STHI] Senshi tachi,3442084
[D21A] Dragon Academic,3442084
[slk] BREIZH ATAO,3442084
[BW21] Black Wolf,3092513
[AHSE] AppEagles,3092513
[~RD] RED Dragons,3092513
[~KOD] KING OF DEATH,2685019
[QH-x] Qart Hadasht,2685019
[BARH] Diddy-Party,2481573
[2836] ONLY REAL LEGEN,1979303
[RS12] Real family farmii,1979303
[g548] daz351d,1979303
[d2d] dazda524,1812189
[d266] daz321,1812189
[f245] fzfze,1793887
[daz3] dazdla,1791203
[f68] daz35d1dd,1788523
[d23d] azda3,1781283
[d2d5] azdar,1779511
[3XTT] The Sin,1706505
[S27&] Shrine of @,1648151
[AAA_] KING KLAN_01,1644811
[RA2S] Immortal Wolfs,1644811
[90AT] Tiirkive 81,131183
[Nyt2] Nusantara Guardi,131183
[21iA] Immortal Angels,131183
[MN21] MINAROK21-0971844,131183
[BMMw] Battle Halll,131183
[ERW] Erawressa The Wa,131183
[872] TheOneWhoWoofe(,4
[Blg] Belgique,4
[sais] O império,4
[FL21] Family war,4
[P:TK] New Life,4
"[h,,] los compraiieros ""'-",4
[21Cm] Gai Xinh Viét Nan,4
[21CF] Clud kingdom Ror,4
[21cP] God of War Rise,4
[211C] Immortal Rabbits,4
[TLG-] The Last Garrison:,4
