ID,Name,Score,Power
142628224,Dae jang goon,25,49435053
44936497,젝스킹,25,15991483
121288381,March 17,25,18291967
178814644,ᵁʷᵘØtòt,25,55196361
176994964,Cpl Rage,25,45920650
180560115,TripEhh,25,63639977
180304933,LilLƴ,25,79913667
179655012,ᴸᵛDØØPER,25,74808915
179940560,ᴸᵛ ink,25,106865291
178695066,SokoDrake,25,69519346
180060983,ᴸᵛRumRamsey,25,57418237
181739549,kylinn,25,41829522
178213242,ᶦˢLOCOOZ,25,38189900
179977300,ᴸᵛTmulla,25,61649292
181825355,ᴸoᵛePUMA,25,48306672
186985518,HornyAPOLLOS,25,50739950
185355768,Majaaaaaaa,25,48589363
180368631,ᴸᵛWinfields,25,38497484
184871937,ScazBigLion,25,48859410
186145908,ʳᵉʸEscanor,25,87786082
184964288,ᴾᴿFïshböy,25,63416511
185282573,ᴸᵛ3621 BANK,25,28384177
188540500,TakeMe2Valhalla,25,84964610
185341770,ᶜᵘRalfish,25,35607866
185089489,ᴼᴾZOROGRANJ,25,34432058
189102803,ALSHAMARI,25,19527175
182338045,亗ƧHiꟻT亗,25,35573433
177013392,ᴸᵛ UCC15,25,30143892
187423027,ᴸᴳPandaFr3d,25,42535785
179816952,Hell CAT GTR,25,38763478
189057191,Hephaestusツ,25,24746758
185690465,Dictator  Goat,25,41865396
188641229,ᴵᴾJOKER,25,19272310
189266244,ᴵᴾRágnär,25,12376390
181308342,ᴸᵛRockSolid,25,47853816
188297965,ŴŌḺF,25,16845397
188557387,ᴵᴾDROZZER,25,15807332
188217778,ᴵᴰKing Nemo,25,11974922
184936163,ᴿᴴ Goat Hry,25,17335260
188756529,ᴵᴾAlzんeiᄊeR,25,19277428
186444772,Dr4gonツ,25,34949606
186295211,ᶠˡVENDETTA,25,29659742
185282531,Annıɛ,25,38667309
186199010,Daphneᴵᴿ,25,48094807
182720562,ᶜᴹᵈSkyy,25,28092367
186765655,KönigsKlãsse,25,38229330
185808036,Ze Bosh,25,45682185
182514982,ᴸoᵛeSalmon,25,52879302
185724517,Feldgraŭ,25,30906696
185651937,ᴳᵃʸGrizzy,25,28913873
188321888,ᴵᴰErag0n,25,17709806
187029935,HolySpirit,25,32776580
185538462,UMAYKIZ,25,27406331
188918989,ᴼᴸ Kaymo,25,56153511
188570680,ᴵᴾ1Luckyy,25,30820284
188443825,йкйцк,25,20721165
189065897,W3llsFargo,25,35926102
184826667,ᴸᵛAHERUS勇,25,49727180
185037763,ᵛBEARDY,25,32277187
188664465,ᴸᵛEren 勇,25,22074129
185457048,Cman9918,25,38231477
185134660,PetitDr,25,22413048
188552088,ᴵᴾ宵崎,25,28408889
188300175,ᴵᴾAzrael,25,15617293
188719347,Suikoden,25,16973428
185986678,卂尺丂,25,36954265
188341936,ᴸᵛ Vatson67,25,56996274
182423962,シValkyrieCillaﾒ,25,43018959
186009654,Dooby ᴼᴺᴱ,25,60872570
185048534,Han Sansan,25,35654337
188693150,ɪᴘUckegerema,25,15626999
188364525,ᴵᴾEmrys II,25,26412458
188997301,Shtah㋡,25,19687344
187266692,Oreo Ackerman,25,29961265
188874671,ᴿᵃMalty,25,9956821
188643562,ᴵᴾ nobbb,25,12222861
185282453,Anixxief2,25,19340423
188644411,IQ777,25,19923652
188575943,BATUMSKİ08,25,26307804
188320129,ᴵᴾBlackMage,25,15281784
188282306,ᴵᴾСаня,25,16399625
188347402,ᴵᶜrusseoner,25,24695234
188806124,ᴵᴾAltar,25,25682493
187559873,ｱ尺ﾉ丂ᄃﾉﾚﾚﾑ,25,31983704
188688539,ᴵᴾRuder,25,17849550
185836736,ᴸᵛMasonFTW,25,51278519
188216744,ᴵᴾjmac,25,14406872
186841127,Anossss,25,32868354
188241095,ᴵᴾOts,25,20189271
188277784,ᴵᴾPecimura,25,25471519
188455431,ByBa,25,21833652
188858506,Cúchulainn 쵸,25,74347069
188218211,ᴵᴾ Anone N,25,20811095
188242643,hoahaizz,25,31769731
188394824,ᴵᴰCreamgor쵸,25,17252329
188483360,ᴼᴸTryxan,25,41167981
187247613,Queen Padmé,25,41642172
188336265,ᴸᵛiGREC,25,34399631
188508418,Lươn Tiddy,25,22005274
188234979,iGRECfarm,25,22319661
172417524,Тень 79,25,14106150
188459126,ᴵᴾPatrese,25,30632241
188725295,Maddii47,25,13317291
186043643,卂几Ҝ卂,25,27609602
183360513,ᵀᴸмønoメ,25,20415868
188306020,ᴵᶜMiki,25,13290546
188581465,ᴸᵛSpSmeagle,25,26107902
188794709,ᶦᵗˢᵘRYU,25,34890486
188969478,ᴰᴹMePaul,25,40776765
188283347,ᴵᶜfernando,25,14725044
188771465,쵸 Leo,25,14316191
188648613,Känguruᴵᴰ,25,36588762
181534760,ᴸᵛSongoku,25,34708203
188351007,ᴵᴾFoxy,25,16380855
189299270,ᴵᴾSefRuggeD,25,20331467
184872506,ᴾᴿF A J A R,25,23766513
188505576,88L1,25,15730263
188785515,Johnvin,25,40674554
188319271,ᴵᴾTURBO,25,24960815
188370645,ᴵᴾ Man,25,21455417
188292201,쵸Bear,25,12762411
188855274,GOLTEB,25,25470678
188233693,MrIRON,25,9150242
188571920,ᴵᴾOptimuS,25,14320462
181581608,Fledermauz DB,25,30300813
188515164,ᴵᴾTiNNe,25,19380356
178139026,SholGunX,25,27385892
184882401,Ферма а,25,30637166
188288426,ᴵᶜNataly,25,26871484
188288472,ᴵᶜRomex,25,20641767
188333348,ᴷᴺLinh,25,35532296
188325495,쵸 See La Meet 쵸,25,20218723
188813142,ᴿᵃMaxGain,25,18585476
188352541,ᴾᴿ Mèoッ,25,31973971
189075824,NooByZ,25,19621709
188790084,ᴵᴾZY0N,25,24074053
188979524,ᴾᴿ TQHN,25,21303741
