ID,Name,Power,Killpoints,Deads,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,Total Kills,T45 Kills,Ranged,Rss Gathered,Rss Assistance,Helps,Alliance
179940560,ᴸᵛ ink,102078041,723002415,4508077,2922079,868214,978068,43839930,13918500,62526791,57758430,0,6213291517,1873979817,82676,[LV21]Lords of Valinor
186145908,ʳᵉʸEscanor,86524742,1588980417,4090753,5354908,1048123,1962400,131436933,13179713,152982077,144616646,0,3566298391,4598233340,23055,[LV21]Lords of Valinor
188540500,TakeMe2Valhalla,80772749,1572756505,5687342,13899415,5759410,11135718,117540653,16925420,165260616,134466073,0,2834283852,7401247251,45111,[LV21]Lords of Valinor
180304933,LilLƴ,76837104,359869716,3777136,3297412,2787733,3277212,20619998,6716297,36698652,27336295,0,1196614476,5020554697,23088,[LV21]Lords of Valinor
188858506,Cúchulainn 쵸,75582389,309535436,2182394,936833,278755,625535,27072552,1778145,30691820,28850697,0,5166068612,562651627,38693,[LV21]Lords of Valinor
179655012,ᴸᵛDØØPER,72843251,647175833,2907301,2840728,974416,1267589,43163578,10397636,58643947,53561214,0,8559391353,1611282008,39458,[LV21]Lords of Valinor
178695066,SokoDrake,67984854,139603048,2945480,1296111,106206,148891,10389225,1732180,13672613,12121405,0,8139411643,115903540,17974,[LV21]Lords of Valinor
180560115,TripEhh,62935119,482993940,1504950,3191022,822023,695405,31083529,8354739,44146718,39438268,0,6769661675,1409777077,11364,[LV21]Lords of Valinor
180060983,ᴸᵛRumRamsey,62126341,466514537,2651593,115891095,5049133,1001138,35104996,3909177,160955539,39014173,0,6211401698,417518493,95903,[LV21]Lords of Valinor
184964288,ᴾᴿFïshböy,59984271,290666990,2495330,2114031,4660047,3960145,22170897,2168727,35073847,24339624,0,3555811173,632742525,39856,[LV21]Lords of Valinor
179977300,ᴸᵛTmulla,59672656,905794577,1845514,5370999,421047,1513186,53948654,17916950,79170836,71865604,0,7014907238,5600679937,17841,[LV21]Lords of Valinor
188839265,A 10 Warthog,59195905,13605420,237086,42253,74269,128873,1069472,111911,1426778,1181383,0,3829282740,784780894,11572,[LV21]Lords of Valinor
186009654,Dooby ᴼᴺᴱ,58369615,351621170,958320,2646333,392289,879934,31444469,1617145,36980170,33061614,0,7673915527,137216122,36324,[LV21]Lords of Valinor
188341936,ᴸᵛ Vatson67,56489102,311310398,1758249,1362222,557836,606793,26212749,2268381,31007981,28481130,0,6706997332,384720155,42930,[LV21]Lords of Valinor
188918989,ᴼᴸ Kaymo,56270701,125177460,1092879,2484352,1386449,2529103,10279320,449904,17129128,10729224,0,3826371448,1075163587,41918,[LV21]Lords of Valinor
178814644,Øtòt x҉ Vail,55255367,444858744,3140400,18550973,3385819,2356133,31505688,5494775,61293388,37000463,0,2295222519,2329433716,15946,[LV21]Lords of Valinor
185836736,ᴸᵛMasonFTW,51031799,519409904,2664938,13762904,2238370,4941301,42895386,3173076,67011037,46068462,0,3432064346,2802859223,29310,[LV21]Lords of Valinor
186199010,Daphneᴵᴿ,50082302,233471958,2042363,2217121,1284533,3398282,18083460,1801587,26784983,19885047,0,4237161612,1913572399,56726,[LV21]Lords of Valinor
184871937,ScazBigLion,49234097,1251099924,4532246,59921311,23364142,26120857,97159533,5815431,212381274,102974964,0,5939774287,13704268108,20975,[LV21]Lords of Valinor
186985518,HornyAPOLLOS,49187365,268728779,1852203,3558316,1749826,3484951,22668016,1194875,32655984,23862891,0,2765945331,614948054,19288,[LV21]Lords of Valinor
185355768,Majaaaaaaa,48589363,577673018,6018425,3773833,2405479,3630391,50168691,2794941,62773335,52963632,0,1749957055,8071265646,20194,[LG21]Lords of Gondor
184826667,ᴸᵛAHERUS勇,48571460,585284460,1685082,13268692,6291630,13058058,50339995,720764,83679139,51060759,0,6054988864,1446853955,25336,[LV21]Lords of Valinor
142628224,Dae jang goon,48359330,205391228,2571470,2106271,732287,391595,16537938,1827982,21596073,18365920,0,5024355519,102794418,17359,[LV21]Lords of Valinor
182514982,ᴸoᵛeSalmon,47823733,551684252,3848011,18839332,2064818,5063050,38758863,6797296,71523359,45556159,0,5541818972,1060488180,54727,[LV21]Lords of Valinor
181308342,ᴸᵛRockSolid,47712368,210408625,2866497,2735175,716448,1593581,14237561,2983938,22266703,17221499,0,3463901301,6282949920,41863,[LV21]Lords of Valinor
181825355,ᴸoᵛePUMA,46984368,270582695,1715043,1617608,371858,550287,19851229,3440101,25831083,23291330,0,3290798684,3599759382,36269,[LV21]Lords of Valinor
176994964,Cpl Rage,45704517,128060914,618447,2430812,1506919,2122761,9977113,814937,16852542,10792050,0,1919595452,63265830,17397,[LV21]Lords of Valinor
185808036,Ze Bosh,45682185,324557669,903869,8598579,2626646,3862918,28938009,637645,44663797,29575654,0,5524831742,631820319,29935,-
188920797,FreyaFullBosom,43877820,135903565,2271264,2285165,1585014,2566131,10643042,779078,17858430,11422120,0,3694718730,1363334617,24825,[LV21]Lords of Valinor
179750493,GuiltyMahiru,43206117,242600598,1387039,3737910,2022199,3431507,20245927,1081166,30518709,21327093,0,1513242691,2025360302,41548,[LV21]Lords of Valinor
188241812,Gilgamesh2323,42725031,142285321,1066661,24534299,240264,461406,12155461,674885,38066315,12830346,0,5221257488,212620586,26661,[LV21]Lords of Valinor
179813923,ㄴ Bless ㄱ,42205273,262773135,2299774,7948187,6194983,5464858,21153320,770045,41531393,21923365,0,2553578309,978016636,23734,[LV21]Lords of Valinor
187423027,ᴸᴳPandaFr3d,42041569,190935207,2055069,1957376,794162,916562,14785690,1871613,20325403,16657303,0,2884943404,6820681844,26545,[LV21]Lords of Valinor
182423962,シValkyrieCillaﾒ,41988895,127170065,1924182,5641405,823181,754108,9727093,1205403,18151190,10932496,0,5122885341,1615202822,15350,[LV21]Lords of Valinor
185690465,Dictator  Goat,41966634,360232584,2170212,6092140,2162244,1321602,32756560,1091883,43424429,33848443,0,6252108752,1005155698,35404,[LV21]Lords of Valinor
188969478,ᴰᴹMePaul,41577440,105818563,1013773,1991609,3290337,2582057,7355162,747986,15967151,8103148,0,3818308315,278578838,3768,[LV21]Lords of Valinor
188483360,ᴼᴸTryxan,41460941,200913899,1210760,21238115,2837274,2706917,15674964,1170721,43627991,16845685,0,6231256097,2169436768,40766,[LV21]Lords of Valinor
187247613,Queen Padmé,40032800,228050601,3610959,4493287,3032102,4098480,18106952,1181215,30912036,19288167,0,7806284280,4718542203,89378,[LV21]Lords of Valinor
188485523,ᴸᵛIMPERADOR,39884217,231397488,1354874,855524,108551,227063,18966109,2021997,22179244,20988106,0,6437881799,281752989,38309,[LV21]Lords of Valinor
188976136,ᴸᵛ MUSE,39668509,116706666,1411454,2169291,2437818,1173468,9169176,750577,15700330,9919753,0,5252097561,405719425,49013,[LV21]Lords of Valinor
188785515,Johnvin,39311417,204436783,2107180,1124006,1265713,2578694,17126422,1005078,23099913,18131500,0,5004598327,93446315,57920,[LV21]Lords of Valinor
179816952,Hell CAT GTR,39008682,62282036,2921173,79058810,1765741,1889333,2800448,368849,85883181,3169297,0,5523244652,1636698071,11196,[LV21]Lords of Valinor
185282531,Annıɛ,38979776,45496988,2695521,469962,132883,175975,4001273,221030,5001123,4222303,0,3456998437,592793562,26323,[LV21]Lords of Valinor
185457048,Cman9918,38231477,133602129,1160939,3704156,1184975,873737,11641776,528932,17933576,12170708,0,1996001700,126071365,16769,-
178213242,ᶦˢLOCOOZ,37985112,142897517,3860481,2142456,957035,1554554,8548914,2442380,15645339,10991294,0,4440676334,1274602396,22301,[LV21]Lords of Valinor
189072394,ᴵᴾLaura,37946994,51126391,1312098,15223045,383206,780510,3891089,264122,20541972,4155211,0,6383875084,362529904,27682,[LV21]Lords of Valinor
180368631,ᴸᵛWinfields,37915292,168670295,4752877,23256287,190665,612282,12372478,1873190,38304902,14245668,0,5328448642,1877834074,14079,[LV21]Lords of Valinor
188303104,HokieHighlander,37847654,95699222,1815055,482383,116164,73422,7788949,859362,9320280,8648311,0,1103135971,84975248,14273,[LV21]Lords of Valinor
186765655,KönigsKlãsse,37813392,240208132,1201359,2443903,1408580,1939543,20333402,1290500,27415928,21623902,0,3670957576,407789115,8877,[LV21]Lords of Valinor
188651683,Sol Aliyaa,37736230,13645781,140221,204288,216649,153294,1152169,51838,1778238,1204007,0,4040641149,201676244,15823,[LV21]Lords of Valinor
189060019,Tušiš,37718543,93247749,892658,793409,636796,1052564,7975910,392306,10850985,8368216,0,3058771554,572362931,20978,[LV21]Lords of Valinor
188882878,Rtthyr,37602951,116538794,1104778,416834,164387,186051,9940881,798682,11506835,10739563,0,7566192847,93046400,20009,[LV21]Lords of Valinor
188880730,ᴸᵛMarlone,37387869,160169403,2240632,619139,375785,278204,13390335,1213892,15877355,14604227,0,6075916868,136720000,45696,[LV21]Lords of Valinor
187726069,ᵀᴿvSpryth,36947657,86210894,933981,1399761,170664,364321,7308417,552408,9795571,7860825,0,5565167729,15763287,24634,[LV21]Lords of Valinor
188648613,Känguruᴵᴰ,36588762,25538784,340214,377701,272323,171077,2091875,165777,3078753,2257652,0,2953884233,286935074,13516,[LV21]Lords of Valinor
188789133,MiniMe,36577405,45652264,379199,267924,256760,240905,4050388,180883,4996860,4231271,0,5120140904,34179151,12070,[LV21]Lords of Valinor
185986678,卂尺丂,36509819,96616452,1248612,681974,1395201,1304339,7984294,431468,11797276,8415762,0,3322879223,1253919485,15311,[LV21]Lords of Valinor
188805469,BossAlienᴾᴴ,36337961,69990201,1238059,250538,604492,927660,5961291,270378,8014359,6231669,0,5020720832,134750966,39904,-
182338045,亗ƧHiꟻT亗,35860693,150628524,1131937,2662150,1006449,1312309,10247812,2017792,17246512,12265604,0,5587398643,2545586970,32901,[LV21]Lords of Valinor
188333348,ᴷᴺLinh,35791288,74683537,942313,1904716,1645656,5139453,4264723,390312,13344860,4655035,0,4969625263,550111352,11150,[LV21]Lords of Valinor
189065897,W3llsFargo,35752802,37205704,668888,1191313,898257,213767,3210360,110613,5624310,3320973,0,3988485577,2754424297,19125,[LV21]Lords of Valinor
188276623,ᴸᵛArork,35748516,99155891,1136023,7400266,1269441,1425134,8170932,386355,18652128,8557287,0,3894441569,360935366,16969,[LV21]Lords of Valinor
186444772,Dr4gonツ,34828138,289750647,3333030,5956288,3581975,4320865,25056516,677341,39592985,25733857,0,5349761829,4917255328,39825,[LV21]Lords of Valinor
185341770,ᶜᵘRalfish,34812018,85986529,2793349,1077569,1155423,2769380,5972409,632928,11607709,6605337,0,2720134792,25760000,16301,[LV21]Lords of Valinor
188969981,ᵸᵒWand0,34522464,65852934,1286067,2054730,706949,524275,5336241,428429,9050624,5764670,0,4299659159,306699275,22650,[LV21]Lords of Valinor
185048534,Han Sansan,34519917,170302894,1196315,1172992,524178,1119270,14997432,728427,18542299,15725859,0,6219777631,357367305,33127,[LV21]Lords of Valinor
185089489,ᴼᴾZOROGRANJ,34432058,89977952,1885507,550571,355159,737615,7809122,405792,9858259,8214914,0,5703855206,2083599610,21234,[LG21]Lords of Gondor
