ID,Name,Power,Killpoints,Deads,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,Total Kills,T45 Kills,Ranged,Rss Gathered,Rss Assistance,Helps,Alliance
179940560,ᴸᵛ ink,103239901,641100700,4332796,2556731,868211,971623,36847634,13324505,54568704,50172139,0,6140001983,1873979817,81821,[LV21]Lords of Valinor
188540500,TakeMe2Valhalla,85853610,1452108729,5160258,12511616,5652155,10639829,107120878,16226700,152151178,123347578,0,2834278325,7061247251,44686,[LV21]Lords of Valinor
186145908,ʳᵉʸEscanor,85754181,1529355190,3712561,4655002,915441,1734412,126358994,12803286,146467135,139162280,0,3550490685,4498233340,22575,[LV21]Lords of Valinor
180304933,LilLƴ,78805224,320790462,3361824,2782862,2764385,3236435,17772190,6201874,32757746,23974064,0,1170004249,5020554697,22334,[LV21]Lords of Valinor
188858506,Cúchulainn 쵸,76761393,249045604,1946106,713072,273416,425482,21811325,1427049,24650344,23238374,0,5065211387,552651627,37729,[LV21]Lords of Valinor
179655012,ᴸᵛDØØPER,76225969,546315064,2487869,2616693,973544,1255147,34880353,9501026,49226763,44381379,0,8476610689,1471282008,38330,[LV21]Lords of Valinor
178695066,SokoDrake,69521216,111516376,2739209,966390,105667,147411,7965664,1543274,10728406,9508938,0,7949224866,115903540,17599,[LV21]Lords of Valinor
180560115,TripEhh,63138134,401422644,1420469,2616534,813884,294450,24694543,7557417,35976828,32251960,0,6676653726,1225250480,11316,[LV21]Lords of Valinor
179977300,ᴸᵛTmulla,62715520,775621279,1802231,3860548,417684,1492228,43428983,16687753,65887196,60116736,0,6986046478,5600679937,17699,[LV21]Lords of Valinor
184964288,ᴾᴿFïshböy,62635359,269979041,2107093,2057085,4656295,3958131,20674973,1883639,33230123,22558612,0,3500326493,632742525,38808,[LV21]Lords of Valinor
186009654,Dooby ᴼᴺᴱ,59865616,291055795,699771,2460788,347817,487446,26344666,1223578,30864295,27568244,0,7606762914,137216122,35671,[LV21]Lords of Valinor
188839265,A 10 Warthog,58183885,12330470,230642,42253,74269,128873,999555,83122,1328072,1082677,0,3734979244,724780894,11099,[LV21]Lords of Valinor
188341936,ᴸᵛ Vatson67,56133042,268833908,1694949,1326311,557828,595665,23068111,1719461,27267376,24787572,0,6569911311,384720155,42234,[LV21]Lords of Valinor
178814644,ᵁʷᵘØtòt,55081959,444858744,3140400,18550973,3385819,2356133,31505688,5494775,61293388,37000463,0,2295222519,2329433716,15898,[LV21]Lords of Valinor
188918989,ᴼᴸ Kaymo,55066631,125177460,1092879,2484352,1386449,2529103,10279320,449904,17129128,10729224,0,3808277288,1075163587,41638,[LV21]Lords of Valinor
182514982,ᴸoᵛeSalmon,51218220,402462962,2976384,17816580,655039,737772,27169916,6146966,52526273,33316882,0,5491036998,1060488180,52850,[LV21]Lords of Valinor
185836736,ᴸᵛMasonFTW,50807001,470304243,2378902,5724465,2214818,4769431,38553207,3005996,54267917,41559203,0,3360417953,2802859223,28701,[LV21]Lords of Valinor
186985518,HornyAPOLLOS,50398022,231878732,1468969,2892482,1515750,3176209,19587198,984596,28156235,20571794,0,2765686093,594947984,18123,[LV21]Lords of Valinor
180060983,ᴸᵛRumRamsey,48495435,372980062,2220332,115639914,5048028,991336,27285932,3146568,152111778,30432500,0,6096830365,417518493,94005,[LV21]Lords of Valinor
184871937,ScazBigLion,48244198,1217022721,4527691,56591135,23364142,26120855,94350903,5549188,205976223,99900091,0,5925433539,13704268108,20867,[LV21]Lords of Valinor
181308342,ᴸᵛRockSolid,48132788,187242543,2676039,2673547,709463,1391557,12511026,2730621,20016214,15241647,0,3443690050,6002949920,40776,[LV21]Lords of Valinor
142628224,Dae jang goon,47842502,163659155,2387504,1946869,718048,367829,12969389,1533424,17535559,14502813,0,4921553708,102794418,16920,[LV21]Lords of Valinor
181825355,ᴸoᵛePUMA,46367624,224481913,1342478,1450618,359419,531778,15955680,3089452,21386947,19045132,0,3290245647,3599759382,35326,[LV21]Lords of Valinor
188920797,FreyaFullBosom,46327443,91726750,1751730,1764654,953550,1150730,7328032,579174,11776140,7907206,0,3609174052,1323334617,24212,[LV21]Lords of Valinor
176994964,Cpl Rage,45840250,114315818,476905,2377013,1506916,2122761,8943256,645149,15595095,9588405,0,1910844064,63265830,17119,[LV21]Lords of Valinor
185808036,Ze Bosh,45657049,324557669,903869,8598579,2626646,3862918,28938009,637645,44663797,29575654,0,5524831742,631820319,29935,[LV21]Lords of Valinor
179750493,GuiltyMahiru,44727817,170017490,976622,2932954,770432,1180564,14459134,928822,20271906,15387956,0,1489342278,2025360302,40344,[LV21]Lords of Valinor
184826667,ᴸᵛAHERUS勇,43400422,513672701,1416939,12789309,5927578,11125761,44119962,677851,74640461,44797813,0,5939147541,1446853955,25045,[LV21]Lords of Valinor
179813923,ㄴ Bless ㄱ,42475973,236773429,2185386,7761519,5947505,5144214,18830978,721974,38406190,19552952,0,2493602433,978016636,23498,[LV21]Lords of Valinor
